,y,pi,i,ibar,rn,r
0,-3.987083525169914e-05,-3.9870835251699144e-07,-1.8049494888479247e-06,-8.08178607555446e-07,-4.167578474054706e-05,-1.8049494888479247e-06
1,-4.9723486761343705e-06,-4.972348676134371e-08,-6.543340464985776e-07,-5.300253295952183e-07,-5.6266827226329476e-06,-6.543340464985776e-07
2,-0.0002081260555623195,-2.0812605556231952e-06,-5.4935540045259344e-06,-2.904026154679462e-07,-0.00021361960956684542,-5.4935540045259344e-06
3,0.00016037298888982974,1.6037298888982977e-06,3.654091950669138e-06,-3.5523277157660617e-07,0.00016402708084049887,3.654091950669138e-06
4,-0.00017305219818834752,-1.7305219818834753e-06,-6.291360331138826e-06,-1.9650553764301373e-06,-0.00017934355851948632,-6.291360331138826e-06
5,-8.265245869562405e-05,-8.265245869562407e-07,-1.5222778699963656e-06,5.440335973942357e-07,-8.417473656562041e-05,-1.5222778699963656e-06
6,4.9909475456423336e-05,4.990947545642335e-07,3.7866625938095124e-07,-8.690706270296321e-07,5.0288141715804284e-05,3.7866625938095124e-07
7,-0.00012170636052314126,-1.217063605231413e-06,-2.82244813758189e-06,2.2021087549664219e-07,-0.00012452880866072315,-2.82244813758189e-06
8,-0.00010168872543184012,-1.0168872543184013e-06,-4.106496454393795e-06,-1.564278318597792e-06,-0.0001057952218862339,-4.106496454393795e-06
9,-8.747241542964167e-05,-8.747241542964168e-07,-3.4283460630432717e-06,-1.2415356773022296e-06,-9.090076149268494e-05,-3.4283460630432717e-06
10,5.3554602329428815e-05,5.355460232942882e-07,1.5908021252136233e-06,2.5193706697790284e-07,5.5145404454642434e-05,1.5908021252136233e-06
11,0.0002241502368756067,2.241502368756067e-06,5.070564405889113e-06,-5.331915160010547e-07,0.00022922080128149578,5.070564405889113e-06
12,3.7940009388437497e-06,3.7940009388437505e-08,3.5993836099659685e-07,2.6508833752550305e-07,4.153939299840346e-06,3.5993836099659685e-07
13,-0.0001095425222085047,-1.0954252220850471e-06,-2.250022302846987e-06,4.88540752365631e-07,-0.00011179254451135169,-2.250022302846987e-06
14,5.391625092300317e-05,5.391625092300317e-07,-1.0418864924276812e-08,-1.3583251379993562e-06,5.390583205807889e-05,-1.0418864924276812e-08
15,-5.825535862067667e-05,-5.825535862067668e-07,-1.3606113599700363e-06,9.577260554688087e-08,-5.9615969980646704e-05,-1.3606113599700363e-06
